latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant
Agave verschaffeltii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1
Agave striata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1
Alocasia nebula Imperialis,Other,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,"toksyczna (ciężkie objawy, szczawiany wapnia)","toksyczna (oparzenia jamy ustnej, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0
Allamanda nerifolia,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Flower,30,10,"toksyczna (biegunka, wymioty)","toksyczna (drażniąca, przeczyszczająca)",Toleruje chłód,Normalna tolerancja ciepła,0,0
Aspidistra elatior,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Anthurium superbum,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Colors / Forms; Secondary,28,18,"toksyczna (podrażnienia jamy ustnej, wymioty)","toksyczna (szczawiany wapnia – pieczenie ust, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0
Caryota mitis,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,25,10,"toksyczna (podrażnienia, wymioty)","toksyczna (szczawiany, podrażnienia ust)",Toleruje chłód,Wrażliwa na upał,0,0
Codiaeum petra,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,10,"toksyczna (kontakt ze skórą – wysypka, wymioty)","toksyczna (sok drażniący, biegunka, wymioty)",Toleruje chłód,Normalna tolerancja ciepła,0,0
Cereus peruvianus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,35,5,nietoksyczna,nietoksyczna (ostre kolce mechanicznie niebezpieczne),Odporna na chłód,Odporna na upał,1,1
Blechnum gibbum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Chamaedorea elegans,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,28,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Calathea veitchiana,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0
Calathea pictura Argentea,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0
Bougainvillea,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Colors / Forms; Primary,32,10,nietoksyczna (kolce mogą ranić),nietoksyczna (kolce mogą ranić),Toleruje chłód,Normalna tolerancja ciepła,0,0
 Chamaedorea seifrizii,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
 Alocasia X amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,toksyczna (szczawiany wapnia),"toksyczna (pieczenie ust, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0
Anthurium X,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Flower; Table top; Tertiary,22,18,toksyczna,toksyczna,Lubi ciepło,Wrażliwa na upał,0,0
Anthurium hookeri,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
Cissus rhombifolia,Hanging,Bright light,Diffused,Keep moist between watering. Can dry between watering,Hanging; Ground cover,28,10,lekko toksyczna (wymioty u kotów),nietoksyczna lub lekkie podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0
Cereus peruvianus Monstrosus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,35,5,nietoksyczna,nietoksyczna (kolce mogą powodować urazy mechaniczne),Odporna na chłód,Odporna na upał,1,1
Chamaedorea erumpens,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Calathea stromata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0
Codiaeum,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Secondary; Tertiary,28,10,"toksyczna (wymioty, biegunka, podrażnienia skóry)","toksyczna (sok drażniący, może powodować wysypkę)",Toleruje chłód,Normalna tolerancja ciepła,0,0
Calathea rufibarba,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0
Alocasias X Amazonica var,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie jamy ustnej, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0
Crassula argentea,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,"toksyczna (apatia, wymioty u kotów i psów)",może powodować lekkie zatrucia przy spożyciu,Tylko temperatura pokojowa,Odporna na upał,0,1
Alocasias X Amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Potted plant; Primary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
Anthurium schlechtendalii,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Colors / Forms; Primary,28,18,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie ust, gardła, obrzęk)",Lubi ciepło,Normalna tolerancja ciepła,0,0
Chamaedorea metallica,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Aspidistra elatior Minor,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Calathea ornata Rosea lineata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0
Asplenium nidus,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
Chlorophytum comosum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,28,5,nietoksyczna (u kotów może wywołać łagodne wymioty przy zjedzeniu dużej ilości),nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Didymochlaena truncatula,Fern,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Tertiary,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Dieffenbachia,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,28,12,"bardzo toksyczna (ślinotok, obrzęk języka, trudności w połykaniu)","bardzo toksyczna (oparzenia jamy ustnej, gardła, możliwa utrata głosu)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Dracaena marginata,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,10,"toksyczna (wymioty, ślinotok, osłabienie)",nietoksyczna (u ludzi objawy bardzo rzadkie),Toleruje chłód,Normalna tolerancja ciepła,0,0
Dracaena fragrans Massangeana,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Primary,30,10,"toksyczna (wymioty, utrata apetytu u psów i kotów)",nietoksyczna lub bardzo łagodna toksyczność,Toleruje chłód,Normalna tolerancja ciepła,0,0
Dracaena deremensis,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,30,10,toksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Cryptanthus Rose Eliane,Bromeliad,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,Table top; Primary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Dracaena reflexa,Dracaena,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,"toksyczna (wymioty, rozszerzone źrenice u kotów)",nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Dieffenbachia maculata,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,28,12,bardzo toksyczna,bardzo toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Cycas revoluta,Palm,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,30,8,"silnie toksyczna (śmiertelna dla psów i kotów, uszkodzenie wątroby)","toksyczna (nudności, wymioty, uszkodzenia wątroby)",Toleruje chłód,Normalna tolerancja ciepła,0,0
Ctenanthe lubbersiana,Foliage plant,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,25,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Wrażliwa na upał,0,0
Cyrtomium falcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Ground cover,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Davallia trichomannoides,Fern,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Potted plant,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0
Dieffenbachia amoena,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,12,bardzo toksyczna,bardzo toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Ficus elastica,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Table top; Tertiary,30,10,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka",Toleruje chłód,Normalna tolerancja ciepła,0,0
Dypsis lutescens,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Epiphyllum,Cactus And Succulent,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,32,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Echinocactus grusonii,Cactus And Succulent,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Potted plant; Primary,40,5,nietoksyczna (ale kolce stanowią zagrożenie mechaniczne),nietoksyczna (oparzenia mechaniczne),Odporna na chłód,Odporna na upał,1,1
Euphorbia milii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Table top; Tertiary,35,12,"toksyczna (sok mleczny – wymioty, biegunka, podrażnienia)",toksyczna (podrażnienia skóry i oczu),Tylko temperatura pokojowa,Odporna na upał,0,1
Epipremnum aureum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,30,12,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie jamy ustnej, podrażnienia gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Guzmania,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Ficus maclellandii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,toksyczna,może powodować podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0
Ficus benjamina,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,10,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)",Toleruje chłód,Normalna tolerancja ciepła,0,0
Fatsia japonica,Aralia,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Table top; Potted plant,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Euphorbia ammack,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Potted plant; Primary,35,12,"toksyczna (sok mleczny drażniący, wymioty)",toksyczna (silne podrażnienia skóry i oczu),Tylko temperatura pokojowa,Odporna na upał,0,1
Ficus pumila,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Hanging; Ground cover,30,10,toksyczna,może powodować podrażnienia skóry,Toleruje chłód,Normalna tolerancja ciepła,0,0
Hedera canariensis,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, nudności)",Odporna na chłód,Normalna tolerancja ciepła,1,0
Ficus lyrata,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,"toksyczna (wymioty, ślinotok)","toksyczna (podrażnienia skóry, błon śluzowych)",Toleruje chłód,Normalna tolerancja ciepła,0,0
Euphorbia ingens,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,"toksyczna (silne zatrucia, sok mleczny)","toksyczna (uszkodzenia skóry, oczu)",Tylko temperatura pokojowa,Odporna na upał,0,1
Ficus maclellandii Alii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,toksyczna,może powodować podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0
Euphorbia drupifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1
Hedera helix,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)",Odporna na chłód,Normalna tolerancja ciepła,1,0
Maranta leuconeura erythroneura,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Monstera deliciosa,Philodendron,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,32,12,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie ust, gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Mandevilla X,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Potted plant,30,10,"toksyczna (biegunka, wymioty)","toksyczna (podrażnienia skóry, zatrucia po spożyciu)",Toleruje chłód,Normalna tolerancja ciepła,0,0
Peperomia obtusifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,32,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Ophiopogon japonicus,Grass,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Tertiary,28,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Hedychium coronarium,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Hedera helix variegata,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,toksyczna,toksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Pellaea falcata,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,25,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Wrażliwa na upał,0,0
Hoya carnosa Exotica,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Nerium oleander,Flower,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,5,silnie toksyczna (może być śmiertelna – glikozydy nasercowe),"silnie toksyczna (zaburzenia rytmu serca, zatrucia, śmiertelna dawka)",Odporna na chłód,Normalna tolerancja ciepła,1,0
Pachypodium geayi,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,8,"toksyczna (podrażnienia, możliwe zatrucia)","toksyczna (drażniąca, sok mleczny)",Toleruje chłód,Odporna na upał,0,1
Licuala spinosa,Palm,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
Philodendron,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,28,18,toksyczna (szczawiany wapnia),toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
Neoregelia Flandria,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Liriope muscari Variegata,Foliage plant,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Table top,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Philodendron micans,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
Maranta leuconeura kerchoveana,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Neoregelia Victoria Pink,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Nolina recurvata,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,32,12,toksyczna (łagodne zatrucia u kotów przy spożyciu),nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Phalaenopsis X,Flower,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Secondary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Hyophorbe verschaffeltii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,35,10,nietoksyczna,nietoksyczna,Toleruje chłód,Odporna na upał,0,1
Nolina guatemalensis,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,32,12,toksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Medinilla magnifica,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Flower,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
Hibiscus rosa sinensis,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Nephrolepis exaltata var,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Howea forsteriana,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Homalomena,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,10,toksyczna,toksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Peperomia clusiifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,32,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Pandorea jasminoides,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,8,lekko toksyczna,może powodować nudności po spożyciu,Toleruje chłód,Normalna tolerancja ciepła,0,0
Neoregelia carolinae var.,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Radermachera sinica,Other,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Pteris cretica Parkeri,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Polystichum tsus simense,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Polystichum polyblepharum,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Ravenea rivularis,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0
Polyscias scutellaria,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Pteris cretica Albo lineata,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0
Platycerium bifurcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0
Philodendron Xanadu,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0
