id,latin,family,common,category,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit,latin_norm,toxicity_animals,toxicity_humans
10,Aglaonema,Araceae,Chinese Evergreen; Painted Princess,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
11,Aglaonema,Araceae,Chinese Evergreen; Queen of Siam,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
12,Aglaonema,Araceae,Chinese Evergreen; Jewel of India,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Table top; Ground cover; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
13,Aglaonema,Araceae,Chinese Evergreen; Patricia,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
14,Aglaonema,Araceae,Chinese Evergreen; Green Lady,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
15,Aglaonema,Araceae,Chinese Evergreen; Black Lance,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
16,Aglaonema,Araceae,Chinese Evergreen; Silver Queen,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
17,Aglaonema,Araceae,Chinese Evergreen; Rapsody in Green,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
18,Aglaonema,Araceae,Chinese Evergreen; Manila Pride,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
19,Agave verschaffeltii,Amaryllidaceae,Blue Agave; Century plant,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,,Potted plant; Primary; Secondary,35,95.0,12,53.6,Agave verschaffeltii,toksyczna,toksyczna
20,Aglaonema,Araceae,Chinese Evergreen; Emerald Beauty,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Table top; Ground cover; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
21,Aglaonema,Araceae,Chinese Evergreen; Jubilee,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
22,Agave striata,Amaryllidaceae,Lilliput Agave; Century plant; Nana,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,,Potted plant; Primary; Secondary,35,95.0,12,53.6,Agave striata,toksyczna,toksyczna
23,Aglaonema,Araceae,Chinese Evergreen; Abidjan,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
24,Aglaonema,Araceae,Chinese Evergreen; Maria Chirstina,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Ground cover; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
25,Alocasia nebula Imperialis,Araceae,Elephant ear,Other,Cultivar,Tropical humid,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0,Alocasia nebula Imperialis,"toksyczna (ciężkie objawy, szczawiany wapnia)","toksyczna (oparzenia jamy ustnej, gardła)"
26,Aglaonema,Araceae,Chinese Evergreen; Emerald Isle,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
27,Aglaonema,Araceae,Chinese Evergreen; Mary Ann,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
28,Allamanda nerifolia,Apocynaceae,Golden Trumpet,Flower,Brazil,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale; Spider mite,,Flower,30,20.0,10,50.0,Allamanda nerifolia,"toksyczna (biegunka, wymioty)","toksyczna (drażniąca, przeczyszczająca)"
29,Aglaonema,Araceae,Chinese Evergreen; BJ Freeman,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
30,Aglaonema,Araceae,Chinese Evergreen; Marguerita,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
31,Aglaonema,Araceae,Chinese Evergreen; Emerald Star,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Secondary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
32,Aglaonema,Araceae,Chinese Evergreen; Silver Bay,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
33,Aspidistra elatior,Liliaceae,Cast iron plant,Foliage plant,China,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,,Ground cover; Potted plant,28,82.4,8,46.4,Aspidistra elatior,nietoksyczna,nietoksyczna
34,Anthurium superbum,Araceae,Bronze Anthurium,Anthurium,Ecuador,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug,,Table top; Colors / Forms; Secondary,28,82.4,18,64.4,Anthurium superbum,"toksyczna (podrażnienia jamy ustnej, wymioty)","toksyczna (szczawiany wapnia – pieczenie ust, gardła)"
35,Caryota mitis,Palmae,Fish tail palm,Palm, India,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,,Potted plant; Primary,25,77.0,10,50.0,Caryota mitis,"toksyczna (podrażnienia, wymioty)","toksyczna (szczawiany, podrażnienia ust)"
36,Codiaeum petra,Euphorbiaceae,Croton,Foliage plant,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Potted plant; Secondary,28,82.4,10,50.0,Codiaeum petra,"toksyczna (kontakt ze skórą – wysypka, wymioty)","toksyczna (sok drażniący, biegunka, wymioty)"
37,Cereus peruvianus,Cactaceae,Tree Cereus,Cactus And Succulent,Brazil,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,,Potted plant; Primary,35,95.0,5,41.0,Cereus peruvianus,nietoksyczna,nietoksyczna (ostre kolce mechanicznie niebezpieczne)
38,Blechnum gibbum,Polypodiaceae,Miniature tree fern; Dwarf tree fern,Fern,New Calidonia,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Blechnum gibbum,nietoksyczna,nietoksyczna
39,Chamaedorea elegans,Arecaceae,Bella palm; Neanthebella palm; Dwarf palm; Parlor palm,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Potted plant; Tertiary,28,82.4,5,41.0,Chamaedorea elegans,nietoksyczna,nietoksyczna
40,Calathea veitchiana,Marantaceae,Medallion Calathea,Foliage plant,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Table top; Ground cover,25,77.0,10,50.0,Calathea veitchiana,nietoksyczna,nietoksyczna
41,Calathea pictura Argentea,Marantaceae,Silver Calathea,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Table top; Ground cover; Tertiary,25,77.0,10,50.0,Calathea pictura Argentea,nietoksyczna,nietoksyczna
42,Bougainvillea,Nyctaginaceae,Bougainvillia; Paper flower,Flower,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Aphid; Mealy bug,,Potted plant; Colors / Forms; Primary,32,89.6,10,50.0,Bougainvillea,nietoksyczna (kolce mogą ranić),nietoksyczna (kolce mogą ranić)
43, Chamaedorea seifrizii,Arecaceae,Bamboo palm; Reed Palm,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Potted plant; Secondary,30,20.0,10,50.0,Chamaedorea seifrizii,nietoksyczna,nietoksyczna
44, Alocasia X amazonica,Araceae,Elephant ear,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0,Alocasia X amazonica,toksyczna (szczawiany wapnia),"toksyczna (pieczenie ust, gardła)"
45,Anthurium X,Araceae,Tailflower; Wax flower,Anthurium,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,Erwinia; Crown rot,Flower; Table top; Tertiary,22,71.6,18,64.4,Anthurium X,toksyczna,toksyczna
46,Anthurium hookeri,Araceae,Bird nest Anthurium; Cabbage Anthurium,Anthurium,Guyana,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Snail; Aphid,Erwinia; Crown rot,Potted plant; Secondary,28,82.4,18,64.4,Anthurium hookeri,toksyczna,toksyczna
47,Cissus rhombifolia,Vitaceae,Grape Ivy; Ellen Danica,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug,Downy mildiou; Powdery,Hanging; Ground cover,28,82.4,10,50.0,Cissus rhombifolia,lekko toksyczna (wymioty u kotów),nietoksyczna lub lekkie podrażnienia
48,Cereus peruvianus Monstrosus,Cactaceae,Monster cactus,Cactus And Succulent,Brazil,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,,Potted plant; Primary,35,95.0,5,41.0,Cereus peruvianus Monstrosus,nietoksyczna,nietoksyczna (kolce mogą powodować urazy mechaniczne)
49,Chamaedorea erumpens,Arecaceae,Bamboo palm,Palm,Honduras,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Potted plant; Secondary,28,82.4,10,50.0,Chamaedorea erumpens,nietoksyczna,nietoksyczna
50,Calathea stromata,Marantaceae,Stromante,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Table top; Ground cover,25,77.0,10,50.0,Calathea stromata,nietoksyczna,nietoksyczna
51,Codiaeum,Euphorbiaceae,Croton,Foliage plant,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Secondary; Tertiary,28,82.4,10,50.0,Codiaeum,"toksyczna (wymioty, biegunka, podrażnienia skóry)","toksyczna (sok drażniący, może powodować wysypkę)"
52,Calathea rufibarba,Marantaceae,Velvet Calathea,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Table top; Ground cover,25,77.0,10,50.0,Calathea rufibarba,nietoksyczna,nietoksyczna
53,Alocasias X Amazonica var,Araceae,Elephant ear,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0,Alocasias X Amazonica var,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie jamy ustnej, gardła)"
54,Crassula argentea,Crasssulaceae,Jade Plant,Cactus And Succulent,South Africa,Subtropical arid,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,,Potted plant; Primary,35,95.0,12,55.0,Crassula argentea,"toksyczna (apatia, wymioty u kotów i psów)",może powodować lekkie zatrucia przy spożyciu
55,Alocasias X Amazonica,Araceae,Elephant ear,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Potted plant; Primary,28,82.4,15,59.0,Alocasias X Amazonica,toksyczna,toksyczna
56,Cissus rhombifolia,Vitaceae,Grape Ivy,Hanging,Central America & South America,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug,Downy mildiou; Powdery,Hanging; Ground cover,28,82.4,10,50.0,Cissus rhombifolia,lekko toksyczna (wymioty u kotów),nietoksyczna lub lekkie podrażnienia
57,Anthurium schlechtendalii,Araceae,Bird nest Anthurium; Cabbage Anthurium,Anthurium,Costa rica,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,,Potted plant; Colors / Forms; Primary,28,82.4,18,64.4,Anthurium schlechtendalii,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie ust, gardła, obrzęk)"
58,Chamaedorea metallica,Arecaceae,Miniature fishtail; Steel palm,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Potted plant; Secondary,30,20.0,10,50.0,Chamaedorea metallica,nietoksyczna,nietoksyczna
59,Aspidistra elatior Minor,Liliaceae,Cast iron plant; Aspidistra Milky Way,Foliage plant,Japan,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,,Ground cover; Potted plant,28,82.4,8,46.4,Aspidistra elatior Minor,nietoksyczna,nietoksyczna
60,Calathea ornata Rosea lineata,Marantaceae,Stiped calathea,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Table top; Ground cover; Tertiary,25,77.0,10,50.0,Calathea ornata Rosea lineata,nietoksyczna,nietoksyczna
61,Asplenium nidus,Aspleniaceae,Birdnest fern,Fern,Asia,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,,Potted plant; Primary,28,82.4,15,59.0,Asplenium nidus,nietoksyczna,nietoksyczna
62,Anthurium hookeri,Araceae,Bird nest Anthurium; Cabbage Anthurium,Anthurium,Guyana,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Snail; Aphid,Erwinia; Crown rot,Potted plant; Primary,28,82.4,18,64.4,Anthurium hookeri,toksyczna,toksyczna
63,Chlorophytum comosum,Liliaceae,Spider plant,Hanging,Central Africa,Tropical to subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,,,Hanging; Ground cover,28,82.4,5,41.0,Chlorophytum comosum,nietoksyczna (u kotów może wywołać łagodne wymioty przy zjedzeniu dużej ilości),nietoksyczna
64,Didymochlaena truncatula,Dryopteridaceae,Tree Maindenhair fern,Fern,South America,Tropical humid,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,,Potted plant; Tertiary,30,20.0,5,41.0,Didymochlaena truncatula,nietoksyczna,nietoksyczna
65,Dieffenbachia,Araceae,Dumcane; Tropic Mary Ann,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant,28,82.4,12,53.6,Dieffenbachia,"bardzo toksyczna (ślinotok, obrzęk języka, trudności w połykaniu)","bardzo toksyczna (oparzenia jamy ustnej, gardła, możliwa utrata głosu)"
66,Dieffenbachia,Araceae,Dumcane; Star Bright,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Potted plant; Secondary,28,82.4,12,53.6,Dieffenbachia,"bardzo toksyczna (ślinotok, obrzęk języka, trudności w połykaniu)","bardzo toksyczna (oparzenia jamy ustnej, gardła, możliwa utrata głosu)"
67,Dracaena marginata,Liliaceae,Madagascar dragon tree; Tricolor,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale; Spider mite,,Potted plant; Secondary,28,82.4,10,50.0,Dracaena marginata,"toksyczna (wymioty, ślinotok, osłabienie)",nietoksyczna (u ludzi objawy bardzo rzadkie)
68,Dracaena fragrans Massangeana,Liliaceae,Cornstalk plant,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Primary,30,20.0,10,50.0,Dracaena fragrans Massangeana,"toksyczna (wymioty, utrata apetytu u psów i kotów)",nietoksyczna lub bardzo łagodna toksyczność
69,Dracaena deremensis,Liliaceae,Janet Craig,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Dracaena deremensis,toksyczna,nietoksyczna
70,Cryptanthus Rose Eliane,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,,,Table top; Primary,28,82.4,10,50.0,Cryptanthus Rose Eliane,nietoksyczna,nietoksyczna
71,Dracaena reflexa,Liliaceae,Yellow Malaysian Dracaena; Song of India,Dracaena, India,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Potted plant; Primary,30,20.0,12,53.6,Dracaena reflexa,"toksyczna (wymioty, rozszerzone źrenice u kotów)",nietoksyczna
72,Dieffenbachia maculata,Araceae,Dumcane; Carina,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant,28,82.4,12,53.6,Dieffenbachia maculata,bardzo toksyczna,bardzo toksyczna
73,Dracaena reflexa,Liliaceae,Malaysian Dracaena; Song of Jamaica,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Potted plant; Secondary,30,20.0,12,53.6,Dracaena reflexa,"toksyczna (wymioty, rozszerzone źrenice u kotów)",nietoksyczna
74,Cycas revoluta,Cycadaceae,Sago palm; King sago,Palm,Japan,Subtropical,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,,Potted plant; Primary,30,20.0,8,46.4,Cycas revoluta,"silnie toksyczna (śmiertelna dla psów i kotów, uszkodzenie wątroby)","toksyczna (nudności, wymioty, uszkodzenia wątroby)"
75,Crassula argentea,Crasssulaceae,Jade Plant,Cactus And Succulent,South Africa,Subtropical arid,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,,Potted plant; Primary,35,95.0,12,55.0,Crassula argentea,"toksyczna (apatia, wymioty u kotów i psów)",może powodować lekkie zatrucia przy spożyciu
76,Ctenanthe lubbersiana,Marantaceae,Phrynium,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,,Potted plant; Secondary,25,77.0,12,53.6,Ctenanthe lubbersiana,nietoksyczna,nietoksyczna
77,Dracaena reflexa,Liliaceae,Malaysian Dracaena,Dracaena,Madagascar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Table top; Tertiary,30,20.0,12,53.6,Dracaena reflexa,"toksyczna (wymioty, rozszerzone źrenice u kotów)",nietoksyczna
78,Dracaena deremensis,Liliaceae,Striped Dracaena; Gold Star,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Dracaena deremensis,toksyczna,nietoksyczna
